pfam_id,protein_id,description,start,stop
PF00615,Q4RN10,RGS domain,61,175
PF00013,Q4RQM9,K Homology domain type 1,580,631
PF04505,Q4RRE8,CD225/Dispanin family,14,79
PF00244,Q4RRK8,14-3-3 domain,10,234
PF00069,Q4RTB4,Protein kinase domain,400,657
PF01900,Q4SA33,Ribonuclease P/MRP protein subunit,1,99
PF00835,Q4SB82,SNAP-25,121,172
mobidb-lite,Q4SD95,disorder_prediction,369,472
PF09735,Q4SG95,Nck-associated protein 1,333,1056
mobidb-lite,Q4SHB1,disorder_prediction,1,23
mobidb-lite,Q4SKD7,disorder_prediction,229,254
mobidb-lite,Q4SLG0,disorder_prediction,330,611
mobidb-lite,Q4T210,disorder_prediction,752,771
PF06473,Q4T4N8,FGF binding 1,19,165
mobidb-lite,Q4T5J5,disorder_prediction,1,22
PF00373,Q4T916,FERM central domain,2,111
PF00051,Q4TE04,Kringle,19,47
PF10367,Q4UGG1,Vacuolar sorting protein 39/Transforming growth factor beta receptor-associated domain 2,889,976
mobidb-lite,Q4VPF0,disorder_prediction,106,134
mobidb-lite,Q4XJY3,disorder_prediction,1,20
PF00115,Q530G0,Cytochrome c oxidase subunit I,3,186
PF01479,Q53BK5,RNA-binding S4 domain,89,136
PF00591,Q547D7,Glycosyl transferase family 3,175,423
mobidb-lite,Q54B63,disorder_prediction,1,21
mobidb-lite,Q54G80,disorder_prediction,52,78
PF00266,Q54GN1,Aminotransferase class V domain,107,484
PF07722,Q54HL4,Peptidase C26,27,242
mobidb-lite,Q54K35,disorder_prediction,131,183
PF00400,Q54M93,WD40 repeat,623,659
LowComplexity,Q54V46,Uncharacterized protein OS=Dictyostelium discoideum GN=DDB0206079 PE=4 SV=1,847,865
PF00526,Q54X44,Dictyostelium (slime mold) repeat,396,418
mobidb-lite,Q54YC4,disorder_prediction,1202,1222
mobidb-lite,Q556T7,disorder_prediction,1673,1753
PF05725,Q55AP6,FNIP,261,300
PF00122,Q55FW3,P-type ATPase A  domain,230,461
mobidb-lite,Q567J7,disorder_prediction,326,345
PF00620,Q568D8,Rho GTPase-activating protein domain,261,407
mobidb-lite,Q5BY32,disorder_prediction,56,78
PF00339,Q5C3T8,Arrestin-like N-terminal,31,109
PF00130,Q5DCG5,Protein kinase C-like phorbol ester/diacylglycerol-binding domain,124,174
PF00033,Q5DT83,Cytochrome b/b6 N-terminal,2,177
PF00536,Q5DTM9,Sterile alpha motif domain,1024,1086
PF00042,Q5DVM5,Globin,7,103
PF03357,Q5E994,Snf7 family,11,170
mobidb-lite,Q5EN13,disorder_prediction,1,38
PF01395,Q5EP07,Pheromone/general odorant binding protein,33,140
PF00223,Q5FB57,Photosystem I PsaA/PsaB,1,498
PF00243,Q5G6G4,Nerve growth factor-related,119,173
mobidb-lite,Q5GAS1,disorder_prediction,289,337
mobidb-lite,Q5IFL7,disorder_prediction,195,221
PF03089,Q5JA72,V-D-J recombination activating protein 2,1,275
PF00531,Q5K6J8,Death domain,863,936
PF00115,Q5MLG9,Cytochrome c oxidase subunit I,1,188
PF00115,Q5MWU1,Cytochrome c oxidase subunit I,7,235
PF09380,Q5R803,FERM C-terminal PH-like domain,229,315
PF16566,Q5R8Y3,Cell-cycle alteration and expression-elevated protein in tumour,165,310
PF00958,Q5RA96,GMP synthase C-terminal,599,692
PF00039,Q5RLI3,Fibronectin type I,306,336
PF02874,Q5S821,ATPase F1/V1/A1 complex alpha/beta subunit N-terminal domain,1,64
mobidb-lite,Q5TF58,disorder_prediction,330,349
PF00053,Q5TWT0,Laminin EGF domain,564,603
mobidb-lite,Q5U2X5,disorder_prediction,881,957
PF00611,Q5U3Q6,FCH domain,10,88
PF01433,Q5U4K7,Peptidase M1 membrane alanine aminopeptidase N-terminal,74,475
PF08736,Q5U540,FERM adjacent (FA),289,330
PF04565,Q5U7W2,RNA polymerase Rpb2 domain 3,259,321
PF01805,Q5XGE8,SWAP/Surp,13,60
PF03344,Q5XLB0,Daxx N-terminal Rassf1C-interacting domain,1,35
PF00014,Q5ZR39,Pancreatic trypsin inhibitor Kunitz domain,1110,1148
mobidb-lite,Q61214,disorder_prediction,485,540
PF00008,Q63722,EGF-like domain,529,559
mobidb-lite,Q641Q2,disorder_prediction,621,664
PF02790,Q64K03,Cytochrome C oxidase subunit II transmembrane domain,3,82
PF01428,Q66JB1,Zinc finger AN1-type,641,679
PF01486,Q68BH6,Transcription factor K-box,83,166
PF12155,Q68KM4,NADH dehydrogenase subunit 2 N-terminal,9,96
PF00115,Q68ML7,Cytochrome c oxidase subunit I,1,219
PF06444,Q691M1,NADH dehydrogenase subunit 2 C-terminal,290,344
LowComplexity,Q6AW06,Histone-lysine N-methyltransferase H3 lysine-79 specific OS=Caenorhabditis elegans GN=dot-1.1 PE=1 SV=2,637,654
PF04000,Q6AXX4,Sas10/Utp3/C1D,227,306
mobidb-lite,Q6DCC1,disorder_prediction,119,175
PF10309,Q6DE94,Nuclear cap-binding protein subunit 3,114,167
PF03071,Q6DFG7,Glycosyl transferase family 13,11,447
PF00033,Q6DNI0,Cytochrome b/b6 N-terminal,7,192
PF00181,Q6E2S3,Ribosomal Proteins L2 RNA binding domain,1,63
PF00931,Q6EVF5,NB-ARC,3,159
PF00071,Q6FGU7,Small GTPase superfamily,9,174
PF00596,Q6GL07,Class II aldolase/adducin N-terminal,148,329
PF00089,Q6GNK3,Serine proteases trypsin domain,41,278
mobidb-lite,Q6GQ12,disorder_prediction,458,479
PF02788,Q6GWY4,Ribulose bisphosphate carboxylase large subunit ferrodoxin-like N-terminal,10,130
mobidb-lite,Q6JJ25,disorder_prediction,715,780
PF00124,Q6L3B1,Photosynthetic reaction centre L/M,29,318
PF07654,Q6L625,Immunoglobulin C1-set,190,265
PF10183,Q6M935,NADH:ubiquinone oxidoreductase ESSS subunit,40,99
PF01344,Q6NRT8,Kelch repeat type 1,355,393
PF00074,Q6NXX2,Ribonuclease A-domain,33,147
PF00400,Q6P0B5,WD40 repeat,269,301
PF00069,Q6P431,Protein kinase domain,86,367
mobidb-lite,Q6PCK3,disorder_prediction,516,535
PF11894,Q6PDG0,Nucleoporin Nup186/Nup192/Nup205,9,1678
PF02772,Q6PTQ3,S-adenosylmethionine synthetase central domain,98,218
PF00859,Q6PWY0,CTF transcription factor/nuclear factor 1,214,273
PF00115,Q6Q9Q3,Cytochrome c oxidase subunit I,3,125
mobidb-lite,Q6QJK9,disorder_prediction,1,32
PF01824,Q6R1P6,Maturase MatK N-terminal domain,1,187
PF05424,Q6RVH9,Duffy-antigen binding,12,183
mobidb-lite,Q6TH22,disorder_prediction,82,144
PF00037,Q6TKB0,4Fe-4S ferredoxin-type iron-sulphur binding domain,1,15
mobidb-lite,Q6UAQ5,disorder_prediction,322,343
PF03770,Q6UEJ5,Inositol polyphosphate kinase,77,255
mobidb-lite,Q6VBJ3,disorder_prediction,1033,1068
PF02788,Q6W3S0,Ribulose bisphosphate carboxylase large subunit ferrodoxin-like N-terminal,6,126
PF00033,Q6W6G8,Cytochrome b/b6 N-terminal,20,205
PF06455,Q6X142,NADH dehydrogenase subunit 5 C-terminal,1,44
PF02790,Q6XNF0,Cytochrome C oxidase subunit II transmembrane domain,1,83
PF00107,Q6XQ74,Alcohol dehydrogenase C-terminal,185,312
PF00115,Q6XS30,Cytochrome c oxidase subunit I,2,157
mobidb-lite,Q6Y859,disorder_prediction,1,21
PF00032,Q6YAK6,Cytochrome b/b6 C-terminal,218,319
PF00002,Q6ZS44,GPCR family 2 secretin-like,237,338
PF00226,Q6ZTD0,DnaJ domain,144,193
PF04566,Q717E5,RNA polymerase Rpb2 domain 4,115,175
PF00033,Q71ES4,Cytochrome b/b6 N-terminal,19,204
PF00177,Q71L30,Ribosomal protein S7 domain,1,150
PF01348,Q75VB1,Domain X,359,466
PF01348,Q75VB5,Domain X,359,466
PF00115,Q7GGQ3,Cytochrome c oxidase subunit I,1,135
PF08246,Q7JMY2,Cathepsin propeptide inhibitor domain (I29),38,94
PF00089,Q7K3Y1,Serine proteases trypsin domain,132,361
PF00076,Q7KES3,RNA recognition motif domain,187,249
mobidb-lite,Q7KJ96,disorder_prediction,1,54
mobidb-lite,Q7KMM8,disorder_prediction,857,925
PF00057,Q7KUB3,Low-density lipoprotein (LDL) receptor class A repeat,1447,1483
PF14604,Q7PNR5,SH3 domain,324,374
PF00137,Q7PSE8,V-ATPase proteolipid subunit C-like domain,142,201
PF00941,Q7Q3J8,Molybdopterin dehydrogenase FAD-binding,230,405
PF01799,Q7Q5S8,[2Fe-2S]-binding,86,161
PF00397,Q7QAB6,WW domain,9,38
PF01588,Q7QD89,tRNA-binding domain,386,478
PF04062,Q7T0U5,Actin-related protein 2/3 complex subunit 3,1,173
mobidb-lite,Q7TPW1,disorder_prediction,165,268
PF00361,Q7Y6A0,NADH:quinone oxidoreductase/Mrp antiporter membrane subunit,2,95
PF00033,Q7Y6Y6,Cytochrome b/b6 N-terminal,19,204
PF00033,Q7YAY7,Cytochrome b/b6 N-terminal,2,167
PF00115,Q7YB51,Cytochrome c oxidase subunit I,8,390
PF00115,Q7YCY6,Cytochrome c oxidase subunit I,1,97
PF00411,Q7YDH5,Ribosomal protein S11,28,96
PF00032,Q7YE92,Cytochrome b/b6 C-terminal,258,359
PF01824,Q7YKQ9,Maturase MatK N-terminal domain,1,333
PF06602,Q7YU03,Myotubularin-like phosphatase domain,220,591
PF00233,Q7YYN8,3'5'-cyclic nucleotide phosphodiesterase catalytic domain,723,982
mobidb-lite,Q7Z6Z7,disorder_prediction,1014,1037
PF00022,Q7Z9D4,Actin family,4,326
PF01161,Q7ZUV8,Phosphatidylethanolamine-binding protein,47,162
PF02882,Q7ZVV5,Tetrahydrofolate dehydrogenase/cyclohydrolase NAD(P)-binding domain,128,292
PF01825,Q80TR1,GPS motif,795,838
PF01624,Q80V79,DNA mismatch repair protein MutS-like N-terminal,18,131
PF00313,Q810K5,Cold-shock protein DNA-binding,59,125
PF01576,Q811J9,Myosin tail,1,536
PF12498,Q84YA9,Basic leucine-zipper C-terminal,132,244
PF00115,Q85N04,Cytochrome c oxidase subunit I,2,142
PF00032,Q85T10,Cytochrome b/b6 C-terminal,212,313
PF00129,Q85ZX5,MHC class I-like antigen recognition-like,25,198
PF00103,Q862R8,Somatotropin hormone,1,135
PF05424,Q868V6,Duffy-antigen binding,1,84
PF02084,Q86D55,Bindin,3,91
PF00078,Q86GH1,Reverse transcriptase domain,595,872
PF00183,Q86LK1,Heat shock protein Hsp90 family,159,564
mobidb-lite,Q870Q8,disorder_prediction,1,81
mobidb-lite,Q875F9,disorder_prediction,669,736
PF00001,Q8AWE0,G protein-coupled receptor rhodopsin-like,49,431
PF00046,Q8AX72,Homeobox domain,2,32
PF00169,Q8BLE2,Pleckstrin homology domain,816,909
mobidb-lite,Q8BUZ9,disorder_prediction,882,1010
mobidb-lite,Q8C4K7,disorder_prediction,508,544
PF12796,Q8C4M9,Ankyrin repeat-containing domain,55,116
mobidb-lite,Q8CB23,disorder_prediction,416,543
PF00251,Q8GUB8,Glycosyl hydrolase family 32 N-terminal,13,325
PF00146,Q8HM40,NADH:ubiquinone oxidoreductase subunit 1/F420H2 oxidoreductase subunit H,13,309
PF00033,Q8HMY1,Cytochrome b/b6 N-terminal,1,74
PF13341,Q8HZU3,Recombination activating protein 2 PHD domain,366,443
mobidb-lite,Q8IQV6,disorder_prediction,305,339
PF00062,Q8IT75,Glycoside hydrolase family 22,19,147
PF01094,Q8IW08,Receptor ligand binding region,72,427
mobidb-lite,Q8IY37,disorder_prediction,116,225
PF04648,Q8J1Q5,Mating factor alpha C-terminal repeat,115,127
PF00289,Q8JHF6,Biotin carboxylase-like N-terminal domain,37,145
PF00102,Q8JIQ4,PTP type protein phosphatase,7,112
PF14260,Q8K2Y1,C4-type zinc-finger of DNA polymerase delta,7,74
PF03160,Q8K596,Na-Ca exchanger/integrin-beta4,389,482
PF06999,Q8LFZ9,Thioredoxin-like ferredoxin,75,286
PF00115,Q8LZU6,Cytochrome c oxidase subunit I,1,136
PF01788,Q8MB69,Photosystem II PsbJ,1,35
PF02874,Q8MBR1,ATPase F1/V1/A1 complex alpha/beta subunit N-terminal domain,7,79
PF01824,Q8MDE4,Maturase MatK N-terminal domain,1,330
PF02788,Q8MGC7,Ribulose bisphosphate carboxylase large subunit ferrodoxin-like N-terminal,14,134
PF00016,Q8MGC9,Ribulose bisphosphate carboxylase large subunit C-terminal,144,420
PF11025,Q8N0J0,Glycoprotein 60 Cryptosporidium spp,129,173
PF00339,Q8N5I2,Arrestin-like N-terminal,7,139
PF00057,Q8NAN7,Low-density lipoprotein (LDL) receptor class A repeat,71,108
PF01643,Q8S392,Acyl-ACP thioesterase,50,261
PF00033,Q8SIX1,Cytochrome b/b6 N-terminal,19,204
PF00628,Q8T096,Zinc finger PHD-finger,358,407
PF02214,Q8TDN1,Potassium channel tetramerisation-type BTB domain,61,160
PF01412,Q8TDY4,Arf GTPase activating protein,429,542
PF00246,Q8UW45,Peptidase M14 carboxypeptidase A,147,438
PF00026,Q8VCK2,Peptidase family A1 domain,10,214
mobidb-lite,Q8VHG2,disorder_prediction,813,855
mobidb-lite,Q8VWG7,disorder_prediction,49,115
PF12146,Q8VZV6,Serine aminopeptidase S33,56,299
PF16760,Q8W1P1,Carbohydrate binding module family 25,673,758
PF00016,Q8WJL0,Ribulose bisphosphate carboxylase large subunit C-terminal,154,458
PF00163,Q8WL15,Ribosomal protein S4/S9 N-terminal,19,73
PF00615,Q8WTQ7,RGS domain,55,175
mobidb-lite,Q8X1X0,disorder_prediction,1,67
PF00688,Q90YF2,TGF-beta propeptide,1,57
PF00030,Q91315,Beta/gamma crystallin,15,99
PF00046,Q91989,Homeobox domain,297,352
PF03700,Q91VZ1,Sorting nexin N-terminal,2,134
PF00297,Q91XB2,Ribosomal protein L3,116,340
PF00057,Q91YY0,Low-density lipoprotein (LDL) receptor class A repeat,317,355
mobidb-lite,Q91ZU9,disorder_prediction,883,912
PF14551,Q921D5,MCM N-terminal domain,162,263
PF00076,Q94EH8,RNA recognition motif domain,109,178
PF01824,Q94P97,Maturase MatK N-terminal domain,1,334
PF00032,Q94WZ2,Cytochrome b/b6 C-terminal,258,359
PF00115,Q953Y8,Cytochrome c oxidase subunit I,1,157
PF02788,Q95G67,Ribulose bisphosphate carboxylase large subunit ferrodoxin-like N-terminal,14,134
PF01348,Q95GU1,Domain X,361,469
PF00969,Q95HY2,MHC class II beta chain N-terminal,10,81
PF00084,Q95K70,Sushi/SCR/CCP domain,146,200
PF00400,Q95NJ3,WD40 repeat,283,307
mobidb-lite,Q95VA3,disorder_prediction,946,1024
PF04626,Q95VF3,Dec-1 protein C-terminal,907,947
mobidb-lite,Q95WZ5,disorder_prediction,21,43
mobidb-lite,Q95ZV3,disorder_prediction,649,678
PF04130,Q962L5,Gamma-tubulin complex component protein,835,1493
PF14604,Q96B97,SH3 domain,106,153
PF12516,Q96BN6,Protein of unknown function DUF3719,114,179
PF13532,Q96BT7,Alpha-ketoglutarate-dependent dioxygenase AlkB-like,150,334
PF15043,Q96F85,CB1 cannabinoid receptor-interacting protein 1,6,163
PF00400,Q96LM8,WD40 repeat,2,44
PF12796,Q96MF3,Ankyrin repeat-containing domain,148,238
mobidb-lite,Q96VJ0,disorder_prediction,303,351
PF01826,Q98UI9,Trypsin Inhibitor-like cysteine rich domain,666,723
PF05001,Q99368,RNA polymerase II heptapeptide repeat eukaryotic,899,912
PF00069,Q99558,Protein kinase domain,405,645
mobidb-lite,Q99929,disorder_prediction,118,177
PF04588,Q99JY6,Hypoxia induced protein domain,27,79
PF00623,Q9AXN1,RNA polymerase alpha subunit,251,416
PF02790,Q9B1G1,Cytochrome C oxidase subunit II transmembrane domain,1,83
PF00163,Q9BC40,Ribosomal protein S4/S9 N-terminal,22,76
mobidb-lite,Q9BLB5,disorder_prediction,13,38
PF00400,Q9BVA0,WD40 repeat,97,133
PF07851,Q9BXJ8,TMPIT-like,14,335
PF00202,Q9BYV1,Aminotransferase class-III,86,505
PF13417,Q9D2S1,Glutathione S-transferase N-terminal,27,100
PF00412,Q9EPW6,Zinc finger LIM-type,1,55
PF00010,Q9FIP9,Myc-type basic helix-loop-helix (bHLH) domain,415,460
PF04833,Q9FME5,COBRA plant,46,199
PF03018,Q9FMZ8,Plant disease resistance response protein,495,632
PF00931,Q9FR20,NB-ARC,1,171
mobidb-lite,Q9FZ49,disorder_prediction,1,37
PF00115,Q9G129,Cytochrome c oxidase subunit I,1,130
LowComplexity,Q9G3W3,Cytochrome b (Fragment) OS=Cacatua galerita GN=cyt b PE=3 SV=1,163,175
PF00115,Q9G470,Cytochrome c oxidase subunit I,1,199
PF00361,Q9G491,NADH:quinone oxidoreductase/Mrp antiporter membrane subunit,23,287
PF00116,Q9G9G4,Cytochrome c oxidase subunit II-like C-terminal,1,89
PF02788,Q9GEX6,Ribulose bisphosphate carboxylase large subunit ferrodoxin-like N-terminal,15,135
PF01348,Q9GHK6,Domain X,337,407
PF01335,Q9IB64,Death effector domain,18,91
mobidb-lite,Q9JLG8,disorder_prediction,1074,1095
PF05739,Q9JMJ6,Target SNARE coiled-coil homology domain,202,252
PF00076,Q9LEB3,RNA recognition motif domain,179,248
mobidb-lite,Q9LHS5,disorder_prediction,58,78
PF01535,Q9LIC3,Pentatricopeptide repeat,293,318
CoiledCoil,Q9M150,Putative uncharacterized protein AT4g01180 OS=Arabidopsis thaliana GN=At4g01180 PE=4 SV=1,239,260
mobidb-lite,Q9M560,disorder_prediction,1,30
mobidb-lite,Q9M9B0,disorder_prediction,867,896
PF06444,Q9MMA0,NADH dehydrogenase subunit 2 C-terminal,116,169
PF07654,Q9MXD0,Immunoglobulin C1-set,214,290
mobidb-lite,Q9NC87,disorder_prediction,1148,1188
PF03144,Q9NDT2,Translation elongation factor EFTu-like domain 2,355,431
mobidb-lite,Q9NG52,disorder_prediction,342,365
PF00135,Q9NI56,Carboxylesterase type B,9,491
PF00050,Q9NJS3,Kazal domain,31,66
mobidb-lite,Q9NPG4,disorder_prediction,854,928
PF00056,Q9P4B6,Lactate/malate dehydrogenase N-terminal,6,142
PF00056,Q9PW07,Lactate/malate dehydrogenase N-terminal,22,160
mobidb-lite,Q9PWB3,disorder_prediction,1,80
PF00400,Q9QXL1,WD40 repeat,1301,1336
PF02210,Q9QYP2,Laminin G domain,620,778
PF01535,Q9S733,Pentatricopeptide repeat,179,207
PF05903,Q9SFT9,PPPDE putative peptidase domain,6,145
PF02493,Q9SLG9,MORN motif,75,97
PF00106,Q9T0G0,Short-chain dehydrogenase/reductase SDR,50,236
PF00033,Q9T3W8,Cytochrome b/b6 N-terminal,19,204
PF00033,Q9T7R2,Cytochrome b/b6 N-terminal,19,204
PF00033,Q9T7T2,Cytochrome b/b6 N-terminal,19,204
PF00115,Q9TCU2,Cytochrome c oxidase subunit I,8,111
PF00033,Q9TDN3,Cytochrome b/b6 N-terminal,2,116
PF00116,Q9TFB3,Cytochrome c oxidase subunit II-like C-terminal,95,212
PF00006,Q9TK42,ATPase F1/V1/A1 complex alpha/beta subunit nucleotide-binding domain,149,369
mobidb-lite,Q9TZK9,disorder_prediction,386,410
PF00759,Q9U080,Glycoside hydrolase family 9,1,37
PF02950,Q9U654,Conotoxin,1,76
mobidb-lite,Q9U8P6,disorder_prediction,26,180
mobidb-lite,Q9UJT9,disorder_prediction,1,79
PF09380,Q9UJZ7,FERM C-terminal PH-like domain,13,102
PF00226,Q9V3W1,DnaJ domain,402,469
PF00046,Q9V472,Homeobox domain,248,304
PF01239,Q9VN77,Protein prenyltransferase alpha subunit,124,151
mobidb-lite,Q9VRJ2,disorder_prediction,1,47
PF11018,Q9VS76,Pupal cuticle protein C1,32,175
mobidb-lite,Q9VSJ0,disorder_prediction,191,288
PF00595,Q9VT49,PDZ domain,14,76
mobidb-lite,Q9VXE6,disorder_prediction,176,227
PF07776,Q9VXT1,Zinc finger AD-type,16,93
mobidb-lite,Q9W0B0,disorder_prediction,180,697
mobidb-lite,Q9W772,disorder_prediction,338,365
PF02230,Q9WTL7,Phospholipase/carboxylesterase/thioesterase,13,227
mobidb-lite,Q9WTU0,disorder_prediction,448,630
PF00067,Q9WU24,Cytochrome P450,1,136
PF04560,Q9XGA2,RNA polymerase Rpb2 domain 7,212,259
PF05699,Q9XII3,HAT C-terminal dimerisation domain,297,381
PF00129,Q9XRQ5,MHC class I-like antigen recognition-like,2,123
mobidb-lite,Q9XWW2,disorder_prediction,75,113
PF00199,Q9XZD5,Catalase core domain,17,400
mobidb-lite,Q9Y253,disorder_prediction,677,705
mobidb-lite,Q9Y5A9,disorder_prediction,247,387
PF02198,Q9Y603,Pointed domain,47,116
mobidb-lite,Q9ZSU2,disorder_prediction,1,22
CoiledCoil,Q9ZUF5,Copia-like retroelement pol polyprotein OS=Arabidopsis thaliana GN=At2g05930 PE=4 SV=1,378,406
PF00400,R0FCP4,WD40 repeat,576,613
mobidb-lite,R0FNJ4,disorder_prediction,66,121
PF11883,R0G9X0,S-locus receptor kinase C-terminal,646,696
PF08268,R0GF48,F-box associated domain type 3,204,333
PF05903,R0GKK4,PPPDE putative peptidase domain,27,161
PF04371,R0HB08,Peptidyl-arginine deiminase Porphyromonas-type,12,369
PF04043,R0HRH5,Pectinesterase inhibitor domain,43,194
mobidb-lite,R0HTC8,disorder_prediction,1,77
PF12752,R0HZK5,SUZ domain,123,167
PF12937,R0IBQ6,F-box domain,14,55
PF02886,R0ICI9,Lipid-binding serum glycoprotein C-terminal,277,478
PF00627,R0IG67,Ubiquitin-associated domain,116,147
PF06031,R0JJ54,SERTA domain,39,74
PF00068,R0KD97,Phospholipase A2 domain,41,144
PF16034,R0L0Q4,Janus kinase and microtubule-interacting protein C-terminal domain,435,627
CoiledCoil,R0LIC2,Golgin subfamily A member 4 (Fragment) OS=Anas platyrhynchos GN=Anapl_04619 PE=4 SV=1,635,692
PF02017,R0LK43,CIDE-N domain,5,79
PF00386,R0LMD6,C1q domain,31,158
PF00621,R0LNS7,Dbl homology (DH) domain,568,742
PF08825,R0LNX2,E2 binding,355,441
PF00271,R0LRE2,Helicase C-terminal,313,417
PF10294,R0LSV6,Lysine methyltransferase,38,195
PF12548,R0LTA3,Extracellular sulfatase C-terminal,532,673
PF11548,R0M8H2,Protein-tyrosine phosphatase receptor IA-2 ectodomain,764,834
PF08797,R1CYK5,HIRAN domain,329,393
PF00743,R1D0M5,Flavin monooxygenase-like,63,226
PF13193,R1D2F6,AMP-binding enzyme C-terminal domain,540,612
PF00069,R1D340,Protein kinase domain,152,357
LowComplexity,R1DBC7,Uncharacterized protein OS=Emiliania huxleyi GN=EMIHUDRAFT_455996 PE=4 SV=1,395,409
PF03950,R1DD38,Glutamyl/glutaminyl-tRNA synthetase class Ib anti-codon binding domain,390,585
mobidb-lite,R1DS90,disorder_prediction,598,626
PF00249,R1DSM8,SANT/Myb domain,96,137
mobidb-lite,R1E487,disorder_prediction,893,915
PF00078,R4G945,Reverse transcriptase domain,7,119
PF00078,R4GAV4,Reverse transcriptase domain,3,148
mobidb-lite,R4GBI2,disorder_prediction,163,258
CoiledCoil,R4GBT1,Uncharacterized protein OS=Anolis carolinensis GN=sars2 PE=4 SV=1,135,156
PF11779,R4GFF4,Small subunit of serine palmitoyltransferase-like,32,83
PF00562,R4GTQ0,DNA-directed RNA polymerase subunit 2 domain 6,337,733
PF01010,R4H5B8,NADH:ubiquinone/plastoquinone oxidoreductase chloroplast chain 5 C-terminal,33,276
PF00115,R4I7W8,Cytochrome c oxidase subunit I,2,219
PF00032,R4I970,Cytochrome b/b6 C-terminal,254,355
PF00115,R4ICB3,Cytochrome c oxidase subunit I,2,219
PF00976,R4JJT2,Pro-opiomelanocortin/corticotropin ACTH central region,13,29
PF00115,R4R6U5,Cytochrome c oxidase subunit I,8,148
PF00115,R4UBU1,Cytochrome c oxidase subunit I,2,216
PF01290,R4WE78,Beta-thymosin,62,93
PF07654,R4ZGR1,Immunoglobulin C1-set,199,275
PF00564,R7Q2Z3,PB1 domain,6,81
PF00665,R7QL37,Integrase catalytic core,194,242
PF01213,R7QRQ8,Adenylate cyclase-associated CAP N-terminal,411,586
PF01063,R7T3V4,Aminotransferase class IV,101,351
PF13676,R7TH74,Toll/interleukin-1 receptor homology (TIR) domain,195,289
PF00343,R7TUW0,Glycosyl transferase family 35,114,829
PF01137,R7TZB6,RNA 3'-terminal phosphate cyclase domain,13,336
PF16891,R7TZG7,Serine-threonine protein phosphatase N-terminal,8,55
PF13833,R7U1V9,EF-hand domain,329,381
PF02475,R7UTZ6,SAM-dependent methyltransferase TRM5/TYW2-type,79,269
PF06784,R7UUS6,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4,1,165
PF00754,R7V491,Coagulation factor 5/8 C-terminal domain,15,100
PF00069,R7V8P5,Protein kinase domain,247,498
PF16158,R7VAU4,Next to BRCA1 central domain,82,179
mobidb-lite,R7VD02,disorder_prediction,109,151
PF01425,R7VGI6,Amidase signature domain,79,499
PF01153,R7VKK5,Glypican,14,100
PF03770,R7VRZ2,Inositol polyphosphate kinase,158,368
PF00481,R7VV75,PPM-type phosphatase domain,652,890
PF03083,R7VYL9,SWEET sugar transporter,119,205
PF13833,R7W0Q7,EF-hand domain,106,145
PF00400,R7W3Q6,WD40 repeat,97,134
PF13962,R7W7V3,PGG domain,555,653
mobidb-lite,R9Q9C5,disorder_prediction,199,221
PF00115,R9QII9,Cytochrome c oxidase subunit I,2,219
PF00115,R9QUG9,Cytochrome c oxidase subunit I,1,205
PF12940,R9RNV4,V(D)J recombination-activating protein 1,2,479
PF00499,R9RQY8,NADH:ubiquinone/plastoquinone oxidoreductase chain 6,17,170
PF00361,R9RSA5,NADH:quinone oxidoreductase/Mrp antiporter membrane subunit,112,403
mobidb-lite,R9S9T6,disorder_prediction,489,511
PF00032,R9TM43,Cytochrome b/b6 C-terminal,253,354
mobidb-lite,R9UHF4,disorder_prediction,109,131
mobidb-lite,R9XIF2,disorder_prediction,1,40
PF03732,R9XM14,Retrotransposon gag domain,50,143
PF05191,R9XMP1,Adenylate kinase active site lid domain,137,172
PF00076,S0B4F3,RNA recognition motif domain,24,81
PF07654,S0F2I4,Immunoglobulin C1-set,190,265
PF10189,S4P4U7,Integrator complex subunit 3,1,85
mobidb-lite,S4PXK4,disorder_prediction,58,80
PF07993,S4PZZ2,Male sterility NAD-binding,1,263
PF02212,S4RAF3,Dynamin GTPase effector,101,189
PF07565,S4RAS3,Band 3 cytoplasmic domain,54,437
PF04621,S4RB79,PEA3-type ETS-domain transcription factor N-terminal,3,375
PF00167,S4RM96,Fibroblast growth factor family,77,209
PF17171,S4RMW0,Metaxin glutathione S-transferase domain,174,237
PF00093,S4RUC0,VWFC domain,3,67
PF00106,S4RW07,Short-chain dehydrogenase/reductase SDR,38,169
PF00023,S4RWH8,Ankyrin repeat,401,431
PF13855,S4RYI0,Leucine-rich repeat,1,59
PF01697,S4S1A6,Glycosyltransferase family 92,159,401
PF00006,S4STA4,ATPase F1/V1/A1 complex alpha/beta subunit nucleotide-binding domain,143,363
PF00372,S4TLD7,Hemocyanin/hexamerin middle domain,55,108
PF00150,S4TZ32,Glycoside hydrolase family 5,73,334
PF00033,S4W098,Cytochrome b/b6 N-terminal,2,60
PF00501,S4W172,AMP-dependent synthetase/ligase,3026,3424
PF05424,S5AG20,Duffy-antigen binding,1,86
PF00361,S5G031,NADH:quinone oxidoreductase/Mrp antiporter membrane subunit,23,283
PF00115,S5G270,Cytochrome c oxidase subunit I,2,197
PF04992,S5RLB3,RNA polymerase Rpb1 domain 6,1,177
PF01348,S5UL07,Domain X,195,258
PF00115,S5VQY2,Cytochrome c oxidase subunit I,2,151
